iter	Passed	Remaining
0	154	30827
1	171	16983
2	182	11996
3	190	9334
4	197	7700
5	203	6595
6	210	5798
7	216	5198
8	222	4731
9	229	4356
10	235	4047
11	241	3790
12	247	3558
13	252	3360
14	258	3193
15	264	3044
16	270	2914
17	277	2805
18	283	2702
19	289	2609
20	296	2524
21	301	2440
22	307	2368
23	313	2298
24	319	2233
25	325	2175
26	331	2121
27	336	2069
28	342	2022
29	349	1980
30	355	1935
31	361	1895
32	367	1857
33	372	1818
34	378	1784
35	384	1750
36	390	1719
37	396	1688
38	401	1657
39	407	1630
40	413	1604
41	419	1578
42	425	1553
43	431	1528
44	436	1504
45	442	1481
46	448	1459
47	454	1437
48	459	1416
49	466	1399
50	472	1381
51	478	1360
52	483	1341
53	489	1324
54	495	1307
55	501	1290
56	507	1273
57	513	1256
58	520	1244
59	526	1227
60	532	1213
61	538	1198
62	545	1186
63	551	1172
64	557	1158
65	563	1144
66	570	1131
67	575	1117
68	582	1104
69	587	1090
70	592	1076
71	599	1064
72	605	1053
73	611	1041
74	617	1029
75	623	1017
76	629	1006
77	635	994
78	641	981
79	646	970
80	652	959
81	660	950
82	666	939
83	673	929
84	679	919
85	686	909
86	692	899
87	698	888
88	703	877
89	709	867
90	715	857
91	721	846
92	727	837
93	734	828
94	740	818
95	747	809
96	753	800
97	759	790
98	766	781
99	772	772
100	779	763
101	785	754
102	791	744
103	797	735
104	802	726
105	808	716
106	814	707
107	820	698
108	826	690
109	833	681
110	839	673
111	847	665
112	854	657
113	859	648
114	865	639
115	871	631
116	877	622
117	883	614
118	890	605
119	896	597
120	901	588
121	907	580
122	913	571
123	919	563
124	925	555
125	931	547
126	937	539
127	944	531
128	950	522
129	956	514
130	962	506
131	968	499
132	974	491
133	981	483
134	986	475
135	992	467
136	997	458
137	1003	450
138	1009	442
139	1014	434
140	1020	427
141	1027	419
142	1033	412
143	1040	404
144	1048	397
145	1055	390
146	1062	383
147	1071	376
148	1078	369
149	1085	361
150	1092	354
151	1098	346
152	1104	339
153	1111	332
154	1117	324
155	1123	316
156	1129	309
157	1135	301
158	1141	294
159	1147	286
160	1153	279
161	1159	271
162	1165	264
163	1171	257
164	1176	249
165	1182	242
166	1188	234
167	1194	227
168	1200	220
169	1207	213
170	1213	205
171	1219	198
172	1225	191
173	1231	183
174	1237	176
175	1242	169
176	1248	162
177	1255	155
178	1261	147
179	1266	140
180	1272	133
181	1278	126
182	1284	119
183	1289	112
184	1295	105
185	1300	97
186	1307	90
187	1313	83
188	1319	76
189	1324	69
190	1331	62
191	1336	55
192	1342	48
193	1348	41
194	1353	34
195	1359	27
196	1365	20
197	1371	13
198	1377	6
199	1383	0
